t x y error
10.6648 722 8.03517 0.261833
10.6912 723 7.93272 0.257282
10.7175 724 7.83802 0.249977
10.7437 725 7.75086 0.24114
10.7697 726 7.67103 0.228974
10.7956 727 7.59833 0.214668
10.8214 728 7.53261 0.198392
10.8471 729 7.4737 0.179304
10.8728 730 7.42145 0.15655
10.8983 731 7.37574 0.131261
10.9238 732 7.33644 0.103557
10.9493 733 7.30345 0.0715479
10.9746 734 7.27667 0.0373325
11 735 7.256 0
11.0253 736 7.24135 0.0413534
11.0506 737 7.23257 0.0595727
11.0759 738 7.22949 0.0684885
11.1012 739 7.23193 0.0679331
11.1264 740 7.23974 0.0617404
11.1516 741 7.25275 0.0507454
11.1768 742 7.27078 0.0357849
11.202 743 7.2937 0.0176969
11.2271 744 7.32132 0.00267927
11.2522 745 7.3535 0.0245031
11.2773 746 7.39007 0.0469327
11.3024 747 7.43087 0.0691251
11.3275 748 7.47576 0.0922364
11.3525 749 7.52458 0.113421
11.3776 750 7.57717 0.133834
11.4026 751 7.63337 0.152627
11.4276 752 7.69305 0.170952
11.4526 753 7.75604 0.18596
11.4776 754 7.8222 0.199802
11.5025 755 7.89137 0.211626
11.5275 756 7.96342 0.221583
11.5524 757 8.03818 0.228818
11.5773 758 8.11552 0.23448
11.6023 759 8.19529 0.237714
11.6272 760 8.27733 0.237668
11.6521 761 8.36151 0.236486
11.6769 762 8.44769 0.232312
11.7018 763 8.53571 0.226292
11.7267 764 8.62543 0.217569
11.7516 765 8.71671 0.207286
11.7764 766 8.80941 0.194587
11.8013 767 8.90339 0.179614
11.8261 768 8.99849 0.162509
11.851 769 9.09458 0.144415
11.8758 770 9.19153 0.124474
11.9007 771 9.28917 0.101826
11.9255 772 9.38739 0.0786131
11.9503 773 9.48602 0.0539773
11.9752 774 9.58494 0.0280592
12 775 9.684 0
