time V1 V2 I
2.71 0.789277 1.07267 0.210723
2.72 0.792104 1.07474 0.207896
2.73 0.794922 1.0768 0.205078
2.74 0.797733 1.07882 0.202267
2.75 0.800536 1.08081 0.199464
2.76 0.80333 1.08278 0.19667
2.77 0.806116 1.08472 0.193884
2.78 0.808894 1.08663 0.191106
2.79 0.811662 1.08851 0.188338
2.8 0.814422 1.09037 0.185578
2.81 0.817172 1.0922 0.182828
2.82 0.819913 1.094 0.180087
2.83 0.822644 1.09577 0.177356
2.84 0.825366 1.09752 0.174634
2.85 0.828077 1.09924 0.171923
2.86 0.830779 1.10093 0.169221
2.87 0.83347 1.10259 0.16653
2.88 0.836151 1.10423 0.163849
2.89 0.838821 1.10584 0.161179
2.9 0.84148 1.10743 0.15852
2.91 0.844129 1.10899 0.155871
2.92 0.846767 1.11052 0.153233
2.93 0.849393 1.11203 0.150607
2.94 0.852008 1.11351 0.147992
2.95 0.854611 1.11496 0.145389
2.96 0.857203 1.11639 0.142797
2.97 0.859783 1.11779 0.140217
2.98 0.862352 1.11917 0.137648
2.99 0.864908 1.12052 0.135092
3 0.867452 1.12184 0.132548
3.01 0.869983 1.12314 0.130017
3.02 0.872502 1.12442 0.127498
3.03 0.875009 1.12567 0.124991
3.04 0.877503 1.12689 0.122497
3.05 0.879984 1.12809 0.120016
3.06 0.882452 1.12927 0.117548
3.07 0.884907 1.13042 0.115093
3.08 0.887349 1.13155 0.112651
3.09 0.889778 1.13265 0.110222
3.1 0.892193 1.13373 0.107807
3.11 0.894595 1.13478 0.105405
3.12 0.896983 1.13581 0.103017
3.13 0.899358 1.13682 0.100642
3.14 0.901719 1.1378 0.0982812
3.15 0.904066 1.13876 0.0959343
3.16 0.906399 1.1397 0.0936013
3.17 0.908718 1.14061 0.0912824
3.18 0.911022 1.1415 0.0889776
3.19 0.913313 1.14237 0.0866871
3.2 0.915589 1.14321 0.0844109
3.21 0.917851 1.14403 0.0821491
3.22 0.920098 1.14483 0.0799018
3.23 0.922331 1.14561 0.077669
3.24 0.924549 1.14636 0.0754509
3.25 0.926752 1.14709 0.0732475
3.26 0.928941 1.1478 0.0710589
3.27 0.931115 1.14849 0.0688851
3.28 0.933274 1.14916 0.0667262
3.29 0.935418 1.14981 0.0645824
3.3 0.937546 1.15043 0.0624535
3.31 0.93966 1.15103 0.0603398
3.32 0.941759 1.15162 0.0582412
3.33 0.943842 1.15218 0.0561579
3.34 0.94591 1.15272 0.0540898
3.35 0.947963 1.15324 0.052037
3.36 0.95 1.15374 0.0499996
3.37 0.952022 1.15422 0.0479777
3.38 0.954029 1.15468 0.0459712
3.39 0.95602 1.15512 0.0439802
3.4 0.957995 1.15554 0.0420047
3.41 0.959955 1.15594 0.0400449
3.42 0.961899 1.15632 0.0381007
3.43 0.963828 1.15668 0.0361721
3.44 0.965741 1.15702 0.0342593
3.45 0.967638 1.15735 0.0323622
3.46 0.969519 1.15765 0.0304809
3.47 0.971385 1.15794 0.0286153
3.48 0.973234 1.15821 0.0267656
3.49 0.975068 1.15846 0.0249317
3.5 0.976886 1.15869 0.0231137
3.51 0.978688 1.1589 0.0213116
3.52 0.980475 1.1591 0.0195254
3.53 0.982245 1.15927 0.0177551
3.54 0.983999 1.15943 0.0160008
3.55 0.985738 1.15958 0.0142624
3.56 0.98746 1.1597 0.01254
3.57 0.989166 1.15981 0.0108336
3.58 0.990857 1.1599 0.00914313
3.59 0.992531 1.15998 0.00746869
3.6 0.99419 1.16003 0.00581025
3.61 0.995832 1.16008 0.00416782
3.62 0.997459 1.1601 0.0025414
3.63 0.999069 1.16011 0.000930996
3.64 1.00066 1.1601 -0.000663403
3.65 1.00224 1.16008 -0.00224179
3.66 1.0038 1.16004 -0.00380418
3.67 1.00535 1.15999 -0.00535057
3.68 1.00688 1.15992 -0.00688096
3.69 1.0084 1.15984 -0.00839537
3.7 1.00989 1.15974 -0.00989381
3.71 1.01138 1.15962 -0.0113763
3.72 1.01284 1.1595 -0.0128428
3.73 1.01429 1.15935 -0.0142934
3.74 1.01573 1.1592 -0.0157281
3.75 1.01715 1.15902 -0.0171468
3.76 1.01855 1.15884 -0.0185497
3.77 1.01994 1.15864 -0.0199367
3.78 1.02131 1.15843 -0.0213079
3.79 1.02266 1.1582 -0.0226633
3.8 1.024 1.15796 -0.0240028
3.81 1.02533 1.15771 -0.0253266
3.82 1.02663 1.15744 -0.0266347
3.83 1.02793 1.15716 -0.027927
3.84 1.0292 1.15687 -0.0292037
3.85 1.03046 1.15656 -0.0304647
3.86 1.03171 1.15625 -0.03171
3.87 1.03294 1.15592 -0.0329398
3.88 1.03415 1.15558 -0.034154
3.89 1.03535 1.15522 -0.0353527
3.9 1.03654 1.15486 -0.0365359
3.91 1.0377 1.15448 -0.0377037
3.92 1.03886 1.15409 -0.038856
3.93 1.03999 1.15369 -0.039993
3.94 1.04111 1.15328 -0.0411146
3.95 1.04222 1.15286 -0.042221
3.96 1.04331 1.15242 -0.0433121
3.97 1.04439 1.15198 -0.0443881
3.98 1.04545 1.15153 -0.0454488
3.99 1.04649 1.15106 -0.0464945
4 1.04753 1.15059 -0.0475251
4.01 1.04854 1.1501 -0.0485407
4.02 1.04954 1.14961 -0.0495414
4.03 1.05053 1.1491 -0.0505271
4.04 1.0515 1.14858 -0.051498
4.05 1.05245 1.14806 -0.052454
4.06 1.0534 1.14753 -0.0533953
4.07 1.05432 1.14698 -0.0543219
4.08 1.05523 1.14643 -0.0552339
4.09 1.05613 1.14587 -0.0561313
4.1 1.05701 1.1453 -0.0570142
4.11 1.05788 1.14472 -0.0578825
4.12 1.05874 1.14413 -0.0587365
4.13 1.05958 1.14354 -0.0595761
4.14 1.0604 1.14293 -0.0604014
4.15 1.06121 1.14232 -0.0612125
4.16 1.06201 1.1417 -0.0620094
4.17 1.06279 1.14107 -0.0627923
4.18 1.06356 1.14044 -0.063561
4.19 1.06432 1.13979 -0.0643158
4.2 1.06506 1.13914 -0.0650567
4.21 1.06578 1.13849 -0.0657837
4.22 1.0665 1.13782 -0.0664969
4.23 1.0672 1.13715 -0.0671965
4.24 1.06788 1.13647 -0.0678824
4.25 1.06855 1.13578 -0.0685547
4.26 1.06921 1.13509 -0.0692135
4.27 1.06986 1.13439 -0.0698588
4.28 1.07049 1.13369 -0.0704908
4.29 1.07111 1.13298 -0.0711095
4.3 1.07171 1.13226 -0.0717149
4.31 1.07231 1.13154 -0.0723072
4.32 1.07289 1.13081 -0.0728865
4.33 1.07345 1.13007 -0.0734527
4.34 1.07401 1.12933 -0.074006
4.35 1.07455 1.12859 -0.0745464
4.36 1.07507 1.12784 -0.075074
4.37 1.07559 1.12708 -0.075589
4.38 1.07609 1.12632 -0.0760913
4.39 1.07658 1.12556 -0.076581
4.4 1.07706 1.12479 -0.0770583
4.41 1.07752 1.12401 -0.0775232
4.42 1.07798 1.12323 -0.0779757
4.43 1.07842 1.12245 -0.078416
4.44 1.07884 1.12166 -0.0788441
4.45 1.07926 1.12086 -0.0792602
4.46 1.07966 1.12007 -0.0796642
4.47 1.08006 1.11927 -0.0800563
4.48 1.08044 1.11846 -0.0804366
4.49 1.08081 1.11766 -0.0808051
4.5 1.08116 1.11684 -0.0811619
4.51 1.08151 1.11603 -0.0815071
4.52 1.08184 1.11521 -0.0818408
4.53 1.08216 1.11439 -0.0821631
4.54 1.08247 1.11356 -0.082474
4.55 1.08277 1.11274 -0.0827736
4.56 1.08306 1.11191 -0.083062
4.57 1.08334 1.11107 -0.0833394
4.58 1.08361 1.11024 -0.0836057
