time V1 V2 I
4.6 0.0146514 0.00492674 0.985349
4.61 0.0145547 0.00492723 0.985445
4.62 0.0144589 0.00492771 0.985541
4.63 0.014364 0.00492818 0.985636
4.64 0.0142701 0.00492865 0.98573
4.65 0.0141772 0.00492911 0.985823
4.66 0.0140852 0.00492957 0.985915
4.67 0.0139941 0.00493003 0.986006
4.68 0.0139039 0.00493048 0.986096
4.69 0.0138146 0.00493093 0.986185
4.7 0.0137262 0.00493137 0.986274
4.71 0.0136387 0.00493181 0.986361
4.72 0.0135521 0.00493224 0.986448
4.73 0.0134663 0.00493267 0.986534
4.74 0.0133814 0.00493309 0.986619
4.75 0.0132973 0.00493351 0.986703
4.76 0.0132141 0.00493393 0.986786
4.77 0.0131317 0.00493434 0.986868
4.78 0.0130502 0.00493475 0.98695
4.79 0.0129694 0.00493515 0.987031
4.8 0.0128895 0.00493555 0.987111
4.81 0.0128103 0.00493595 0.98719
4.82 0.012732 0.00493634 0.987268
4.83 0.0126544 0.00493673 0.987346
4.84 0.0125776 0.00493711 0.987422
4.85 0.0125016 0.00493749 0.987498
4.86 0.0124263 0.00493787 0.987574
4.87 0.0123518 0.00493824 0.987648
4.88 0.0122781 0.00493861 0.987722
4.89 0.012205 0.00493897 0.987795
4.9 0.0121327 0.00493934 0.987867
4.91 0.0120612 0.00493969 0.987939
4.92 0.0119903 0.00494005 0.98801
4.93 0.0119202 0.0049404 0.98808
4.94 0.0118507 0.00494075 0.988149
4.95 0.0117819 0.00494109 0.988218
4.96 0.0117139 0.00494143 0.988286
4.97 0.0116465 0.00494177 0.988354
4.98 0.0115798 0.0049421 0.98842
4.99 0.0115137 0.00494243 0.988486
5 0.0114484 0.00494276 0.988552
5.01 0.0113836 0.00494308 0.988616
5.02 0.0113195 0.0049434 0.98868
5.03 0.0112561 0.00494372 0.988744
5.04 0.0111933 0.00494403 0.988807
5.05 0.0111311 0.00494434 0.988869
5.06 0.0110696 0.00494465 0.98893
5.07 0.0110086 0.00494496 0.988991
5.08 0.0109483 0.00494526 0.989052
5.09 0.0108885 0.00494556 0.989111
5.1 0.0108294 0.00494585 0.989171
5.11 0.0107709 0.00494615 0.989229
5.12 0.0107129 0.00494644 0.989287
5.13 0.0106555 0.00494672 0.989344
5.14 0.0105987 0.00494701 0.989401
5.15 0.0105425 0.00494729 0.989457
5.16 0.0104868 0.00494757 0.989513
5.17 0.0104317 0.00494784 0.989568
5.18 0.0103771 0.00494811 0.989623
5.19 0.0103231 0.00494838 0.989677
5.2 0.0102697 0.00494865 0.98973
5.21 0.0102167 0.00494892 0.989783
5.22 0.0101643 0.00494918 0.989836
5.23 0.0101124 0.00494944 0.989888
5.24 0.010061 0.00494969 0.989939
5.25 0.0100102 0.00494995 0.98999
5.26 0.00995982 0.0049502 0.99004
5.27 0.00990998 0.00495045 0.99009
5.28 0.00986063 0.0049507 0.990139
5.29 0.00981178 0.00495094 0.990188
5.3 0.00976341 0.00495118 0.990237
5.31 0.00971553 0.00495142 0.990284
5.32 0.00966813 0.00495166 0.990332
5.33 0.0096212 0.00495189 0.990379
5.34 0.00957474 0.00495213 0.990425
5.35 0.00952874 0.00495236 0.990471
5.36 0.00948321 0.00495258 0.990517
5.37 0.00943813 0.00495281 0.990562
5.38 0.0093935 0.00495303 0.990606
5.39 0.00934932 0.00495325 0.990651
5.4 0.00930558 0.00495347 0.990694
5.41 0.00926227 0.00495369 0.990738
5.42 0.0092194 0.0049539 0.990781
5.43 0.00917696 0.00495412 0.990823
5.44 0.00913494 0.00495433 0.990865
5.45 0.00909335 0.00495453 0.990907
5.46 0.00905217 0.00495474 0.990948
5.47 0.0090114 0.00495494 0.990989
5.48 0.00897103 0.00495514 0.991029
5.49 0.00893108 0.00495534 0.991069
5.5 0.00889152 0.00495554 0.991108
5.51 0.00885235 0.00495574 0.991148
5.52 0.00881358 0.00495593 0.991186
5.53 0.0087752 0.00495612 0.991225
5.54 0.0087372 0.00495631 0.991263
5.55 0.00869958 0.0049565 0.9913
5.56 0.00866234 0.00495669 0.991338
5.57 0.00862547 0.00495687 0.991375
5.58 0.00858896 0.00495706 0.991411
5.59 0.00855283 0.00495724 0.991447
5.6 0.00851705 0.00495741 0.991483
5.61 0.00848163 0.00495759 0.991518
5.62 0.00844657 0.00495777 0.991553
5.63 0.00841185 0.00495794 0.991588
5.64 0.00837749 0.00495811 0.991623
5.65 0.00834346 0.00495828 0.991657
5.66 0.00830978 0.00495845 0.99169
5.67 0.00827644 0.00495862 0.991724
5.68 0.00824342 0.00495878 0.991757
5.69 0.00821074 0.00495895 0.991789
5.7 0.00817839 0.00495911 0.991822
5.71 0.00814635 0.00495927 0.991854
5.72 0.00811464 0.00495943 0.991885
5.73 0.00808325 0.00495958 0.991917
5.74 0.00805217 0.00495974 0.991948
5.75 0.0080214 0.00495989 0.991979
5.76 0.00799094 0.00496005 0.992009
5.77 0.00796078 0.0049602 0.992039
5.78 0.00793092 0.00496035 0.992069
5.79 0.00790137 0.00496049 0.992099
5.8 0.0078721 0.00496064 0.992128
5.81 0.00784313 0.00496078 0.992157
5.82 0.00781446 0.00496093 0.992186
5.83 0.00778606 0.00496107 0.992214
5.84 0.00775795 0.00496121 0.992242
5.85 0.00773013 0.00496135 0.99227
5.86 0.00770258 0.00496149 0.992297
5.87 0.0076753 0.00496162 0.992325
5.88 0.0076483 0.00496176 0.992352
5.89 0.00762157 0.00496189 0.992378
5.9 0.00759511 0.00496202 0.992405
5.91 0.00756891 0.00496216 0.992431
5.92 0.00754297 0.00496229 0.992457
5.93 0.00751729 0.00496241 0.992483
5.94 0.00749187 0.00496254 0.992508
5.95 0.00746671 0.00496267 0.992533
5.96 0.00744179 0.00496279 0.992558
5.97 0.00741712 0.00496291 0.992583
5.98 0.0073927 0.00496304 0.992607
5.99 0.00736853 0.00496316 0.992631
6 0.0073446 0.00496328 0.992655
6.01 0.0073209 0.0049634 0.992679
6.02 0.00729744 0.00496351 0.992703
6.03 0.00727422 0.00496363 0.992726
